SampleID,curated_file_Name,Row_File_Name,Row,Pear,Bowtie,MothurQC,F649_R889,F649_R889_bacteria,F649_R889_choa1,F649_R889_otu,F649_R889_PD,F649_R889_shannon,Project,Reserve,tree_species,Canopy,Tree,Day,Month,shedding,month,Year,season,sample_type,INC,legent1,lane,Temperature,Precipitation,Humidity,VPD,GI,RI,Description
C01S62,Pear_bowtie_mothurQC_C01S62_F649_R889.fasta,Core-01-S62-Endo-T300S4_S62_L001_R1_001.fastq,41693,34716,34621,29714,27965,9370,262.25,94,6.31444,1.486541691,Acacia,Shizaf,A. tortilis,South,300,20,4,new,April,2015,Spring,Endophytes,core_all,Endo_T,C01,26,0.9,34,2543,0.3463800564,0.381,Endo_T300_4_S
L6S33,Pear_bowtie_mothurQC_L6S33_F649_R889.fasta,04-15-R01C1_S33_L001_R1_001.fastq,123685,95189,94900,71797,34670,3381,645.7,326,18.68631,6.00865301,Acacia,Shizaf,A. raddiana,Center,284,20,4,new,April,2015,Spring,Epiphytes,core_all,Epi_R,6,26,0.9,34,2543,0.3511113426,0.392,Epi_R284_4_C
L6S36,Pear_bowtie_mothurQC_L6S36_F649_R889.fasta,04-15-R02C1_S36_L001_R1_001.fastq,180855,118687,118461,91480,33064,678,257.05,149,10.9447,5.751766618,Acacia,Shizaf,A. raddiana,Center,286,20,4,new,April,2015,Spring,Epiphytes,core_all,Epi_R,6,26,0.9,34,2543,0.3511113426,0.392,Epi_R286_4_C
L6S34,Pear_bowtie_mothurQC_L6S34_F649_R889.fasta,04-15-R02N1_S34_L001_R1_001.fastq,187760,119289,119035,86708,48076,44008,424.1538462,143,10.36947,0.9569941679,Acacia,Shizaf,A. raddiana,North,286,20,4,new,April,2015,Spring,Epiphytes,core_all,Epi_R,6,26,0.9,34,2543,0.3511113426,0.392,Epi_R286_4_N
L6S32,Pear_bowtie_mothurQC_L6S32_F649_R889.fasta,04-15-R01S2_S32_L001_R1_001.fastq,177438,144150,143894,108830,58116,6751,543.1351351,328,18.14806,5.119274208,Acacia,Shizaf,A. raddiana,South,284,20,4,new,April,2015,Spring,Epiphytes,core_all,Epi_R,6,26,0.9,34,2543,0.3511113426,0.392,Epi_R284_4_S
L6S35,Pear_bowtie_mothurQC_L6S35_F649_R889.fasta,04-15-R02S1_S35_L001_R1_001.fastq,158594,134650,134467,100688,63139,30275,579.0526316,323,18.1165,3.584027561,Acacia,Shizaf,A. raddiana,South,286,20,4,new,April,2015,Spring,Epiphytes,core_all,Epi_R,6,26,0.9,34,2543,0.3511113426,0.392,Epi_R286_4_S
L6S42,Pear_bowtie_mothurQC_L6S42_F649_R889.fasta,04-15-T04C1_S42_L001_R1_001.fastq,126578,103022,102848,77771,45652,3875,339,179,11.58699,4.100617561,Acacia,Shizaf,A. tortilis,Center,23,20,4,new,April,2015,Spring,Epiphytes,core_all,Epi_T,6,26,0.9,34,2543,0.3463800564,0.381,Epi_T23_4_C
L6S39,Pear_bowtie_mothurQC_L6S39_F649_R889.fasta,04-15-T03C1_S39_L001_R1_001.fastq,133566,115769,115597,86621,46723,12358,920.8888889,579,25.39216,5.722499516,Acacia,Shizaf,A. tortilis,Center,300,20,4,new,April,2015,Spring,Epiphytes,core_all,Epi_T,6,26,0.9,34,2543,0.3463800564,0.381,Epi_T300_4_C
L6S40,Pear_bowtie_mothurQC_L6S40_F649_R889.fasta,04-15-T04N1_S40_L001_R1_001.fastq,50831,42422,42347,31396,16443,10841,1016.202128,659,28.53167,5.684685405,Acacia,Shizaf,A. tortilis,North,23,20,4,new,April,2015,Spring,Epiphytes,core_all,Epi_T,6,26,0.9,34,2543,0.3463800564,0.381,Epi_T23_4_N
L6S37,Pear_bowtie_mothurQC_L6S37_F649_R889.fasta,04-15-T03N1_S37_L001_R1_001.fastq,33193,25474,25420,19049,11793,4113,466.5,237,12.64631,5.087842269,Acacia,Shizaf,A. tortilis,North,300,20,4,new,April,2015,Spring,Epiphytes,core_all,Epi_T,6,26,0.9,34,2543,0.3463800564,0.381,Epi_T300_4_N
L6S41,Pear_bowtie_mothurQC_L6S41_F649_R889.fasta,04-15-T04S1_S41_L001_R1_001.fastq,89543,73817,73675,54968,32368,17073,882.3571429,542,25.26835,6.035525323,Acacia,Shizaf,A. tortilis,South,23,20,4,new,April,2015,Spring,Epiphytes,core_all,Epi_T,6,26,0.9,34,2543,0.3463800564,0.381,Epi_T23_4_S
L6S38,Pear_bowtie_mothurQC_L6S38_F649_R889.fasta,04-15-T03S1_S38_L001_R1_001.fastq,58604,44976,44841,33041,21735,9273,527.8857143,320,16.54704,4.876005394,Acacia,Shizaf,A. tortilis,South,300,20,4,new,April,2015,Spring,Epiphytes,core_all,Epi_T,6,26,0.9,34,2543,0.3463800564,0.381,Epi_T300_4_S
C01S88,Pear_bowtie_mothurQC_C01S88_F649_R889.fasta,Core-01-S88-Endo-R284S1_S88_L001_R1_001.fastq,132024,117402,117241,100983,66906,32751,289.75,138,9.22377,1.728282888,Acacia,Shizaf,A. raddiana,South,284,28,5,new,May,2015,Spring,Endophytes,core_all,Endo_R,C01,34.6,0,29,4189,0.3448385126,0.397,Endo_R284_5_S
C01S87,Pear_bowtie_mothurQC_C01S87_F649_R889.fasta,Core-01-S87-Endo-R286S2_S87_L001_R1_001.fastq,115487,96610,96464,84234,54802,5043,388.875,200,12.17538,3.613156411,Acacia,Shizaf,A. raddiana,South,286,28,5,new,May,2015,Spring,Endophytes,core_all,Endo_R,C01,34.6,0,29,4189,0.343,0.388,Endo_R286_5_S
C01S61,Pear_bowtie_mothurQC_C01S61_F649_R889.fasta,Core-01-S61-Endo-T23S2_S61_L001_R1_001.fastq,15505,10624,10576,8904,8290,8235,228.6666667,113,6.22868,2.552171279,Acacia,Shizaf,A. tortilis,South,23,28,5,old,May,2015,Spring,Endophytes,core_all,Endo_T,C01,34.6,0,29,4189,0.3400736068,0.378,Endo_T23_5_S
C01S60,Pear_bowtie_mothurQC_C01S60_F649_R889.fasta,Core-01-S60-Endo-T300S2_S60_L001_R1_001.fastq,20877,16138,16064,13814,12923,3162,121,66,4.70118,1.681771863,Acacia,Shizaf,A. tortilis,South,300,28,5,old,May,2015,Spring,Endophytes,core_all,Endo_T,C01,34.6,0,29,4189,0.3400736068,0.378,Endo_T300_5_S
